Sample_name;Sampling_date;PE_L-1;PP_L-1;PVC_L-1;PET_L-1;PS_L-1;Other_L-1;Rain_last_24h_mm;Raw_WaterTurbidity_value;Turbidity_unit;Raw_Water_NH4_mgl-1;Raw_water_TOC_mg_l-1
Inlet_Choisy_1;12/10/2020;2,8;3,2;5,2;0;0,2;0;1;5;FNU;0,05;2,2
Inlet_Choisy_2;01/02/2021;7,4;0,2;13,6;0;0,6;0,2;8,3;118;FNU;0,07;5,2
Inlet_Choisy_3;03/05/2021;0,8;11,5;9,7;0;0,3;0,2;0,2;1;FNU;0,04;2
Inlet_Neuilly_1;13/10/2020;15,6;3,8;23;0,2;0;0,4;3,8;18,78;NTU;0;2,7
Inlet_Neuilly_2;03/02/2021;17,4;4;8,2;1;1,2;0,6;4,2;97,91;NTU;0;6
Inlet_Neuilly_3;03/05/2021;9,8;2,2;32,5;0,2;0,3;0;0,2;1,32;NTU;0;1,8
Inlet_Mery_1;14/10/2020;10,8;0,2;6,4;0;0,4;0;0,4;5,2;NTU;0,04;2,8
Inlet_Mery_2;02/02/2021;3,8;1;4,4;0;0;0,2;3;79,1;NTU;0,05;7,2
Inlet_Mery_3;03/05/2021;0,6;0,8;6;0;0,2;0,2;0,2;3,3;NTU;0,05;2
Outlet_Choisy_1;12/10/2020;0,0125;0;0;0;0;0;;;;;
Outlet_Choisy_2;01/02/2021;0;0,002;0;0;0;0;;;;;
Outlet_Choisy_3;03/05/2021;0,002;0,016;0,002;0;0,002;0;;;;;
Outlet_Neuilly_1;13/10/2020;0,178;0,036;0,016;0,008;0,002;0,02;;;;;
Outlet_Neuilly_2;06/04/2021;0,006;0,002;0,012;0;0,002;0,004;;;;;
Outlet_Neuilly_3;03/05/2021;0,006;0;0,002;0;0;0;;;;;
Outlet_Mery_1;13/10/2020;0,014;0,008;0,008;0,004;0,004;0,002;;;;;
Outlet_Mery_2;06/04/2021;0,01;0,036;0,026;0,008;0,004;0,006;;;;;
Outlet_Mery_3;03/05/2021;0,006;0,004;0;0,002;0;0;;;;;
Nanofiltration_BD_1;14/10/2020;0;0;0;0;0;0;;;;;
Nanofiltration_BD_2;06/04/2021;0;0;0;0;0;0;;;;;
Nanofiltration_BD_3;03/05/2021;0,002;0;0,02;0;0;0,006;;;;;
Nanofiltration_AD_1;14/10/2020;0,002;0;0;0;0;0;;;;;
Nanofiltration_AD_2;03/02/2021;0,014;0,004;0;0;0;0;;;;;
Nanofiltration_AD_3;03/05/2021;0;0;0;0;0;0;;;;;
Network_Jouy_1;12/10/2020;0,066;0,006;0;0;0;0,002;;;;;
Network_Jouy_2;01/02/2021;0;0,026;0,006;0;0;0;;;;;
Network_Saclay_1;12/10/2020;0,078;0,22;0,008;0;0;0;;;;;
Network_Saclay_2;01/02/2021;0;0,004;0,002;0;0;0;;;;;
Network_Villejuif_1;12/10/2020;0,14;0,024;0,002;0;0,002;0,004;;;;;
Network_Villejuif_2;01/02/2021;0,002;0,032;0;0;0;0;;;;;
Inlet Blank 1;12/10/2020;3;0,166666667;0;0;0;0;;;;;
Inlet Blank 2;01/02/2021;0;0;0;0;0;0;;;;;
Inlet Blank 3;03/05/2021;0,166666667;0;0;0;0;0;;;;;
Inlet Blank 4;03/05/2021;0;0;0;0;0;0;;;;;
Outlet Blank 1;12/10/2020;0,002;0;0;0;0;0,004;;;;;
Outlet Blank 2;13/10/2020;0,002;0;0;0;0;0;;;;;
Outlet Blank 3;14/10/2020;0,01;0;0;0;0;0,002;;;;;
Outlet Blank 4;14/10/2020;0;0;0;0;0;0;;;;;
Outlet Blank 5;01/02/2021;0;0,004;0;0;0;0;;;;;
Outlet Blank 6;02/02/2021;0;0;0;0;0;0;;;;;
Outlet Blank 7;02/02/2021;0;0;0;0;0;0;;;;;
Outlet Blank 8;03/02/2021;0;0;0;0;0;0;;;;;
Outlet Blank 9;03/05/2021;0,004;0;0;0;0;0;;;;;
Outlet Blank 10;03/05/2021;0;0;0;0;0;0;;;;;
Outlet Blank 11;03/05/2021;0;0;0;0;0;0;;;;;
Outlet Blank 12;03/05/2021;0;0,002;0;0;0;0;;;;;
